Link,Total Call Duration,Total Effective Talk Duration,Total Effective Talk Percent,Talk Duration (Mono Right),Talk Duration (Mono Left),Talk Percent (Mono Right),Talk Percent (Mono Left),Overlaps Count (Total),Overlaps Count (Mono Right),Overlaps Count (Mono Left),Overlaps Duration (Total),Overlaps Duration (Mono Right),Overlaps Duration (Mono Left),Overlaps Percent (Total),Overlaps Percent (Mono Right),Overlaps Percent (Mono Left),Overall Emotion (Total),Overall Emotion (Mono Right),Overall Emotion (Mono Left)
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/d62533ee8881e64598f1fa51316e17b7.mp3,0.12 Minutes,0.08 Minutes,68.85%,0.0 Minutes,0.08 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,fear,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b82059397ae8a07f5064813d1b7c17b9.mp3,0.11 Minutes,0.1 Minutes,94.29%,0.1 Minutes,0.0 Minutes,100.0 %,0.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,surprise,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/175ed08591d3d51ef1651135f3a117b9.mp3,1.08 Minutes,1.03 Minutes,95.68%,0.42 Minutes,0.83 Minutes,33.56 %,66.44 %,6 Times,4 Times,2 Times,0.22 Minutes,0.18 Minutes,0.04 Minutes,21.51 %,17.84 %,3.67 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e74a38a2530667973c978f2b1ac517ba.mp3,0.42 Minutes,0.33 Minutes,77.81%,0.08 Minutes,0.27 Minutes,22.63 %,77.37 %,1 Times,1 Times,0 Times,0.02 Minutes,0.02 Minutes,0.0 Minutes,5.15 %,5.15 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e9c58b44cb55622eebe8cbfcfd5117b9.mp3,2.31 Minutes,1.93 Minutes,83.61%,0.94 Minutes,1.23 Minutes,43.47 %,56.53 %,13 Times,5 Times,8 Times,0.24 Minutes,0.1 Minutes,0.14 Minutes,12.65 %,5.43 %,7.22 %,angry,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/72083902bcd4669e283746b649a817bk.mp3,1.76 Minutes,1.67 Minutes,94.64%,0.8 Minutes,1.28 Minutes,38.5 %,61.5 %,9 Times,5 Times,4 Times,0.42 Minutes,0.31 Minutes,0.11 Minutes,24.97 %,18.33 %,6.65 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b22361b0ec43f91336feaadf39cc17b6.mp3,1.25 Minutes,1.08 Minutes,86.43%,0.25 Minutes,0.96 Minutes,20.5 %,79.5 %,5 Times,3 Times,2 Times,0.13 Minutes,0.1 Minutes,0.03 Minutes,12.31 %,9.58 %,2.73 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/bf9b036d3cf8c2f7bfe3377e8f0b17b2.mp3,3.8 Minutes,3.44 Minutes,90.54%,0.56 Minutes,2.98 Minutes,15.74 %,84.26 %,5 Times,3 Times,2 Times,0.1 Minutes,0.06 Minutes,0.03 Minutes,2.78 %,1.78 %,1.00 %,angry,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/c51be46627e51e5f49f8363051da17b9.mp3,0.39 Minutes,0.31 Minutes,79.58%,0.16 Minutes,0.24 Minutes,40.11 %,59.89 %,2 Times,2 Times,0 Times,0.09 Minutes,0.09 Minutes,0.0 Minutes,29.94 %,29.94 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/65e8bf69021ad7808009823d26d117bh.mp3,0.77 Minutes,0.7 Minutes,91.46%,0.2 Minutes,0.54 Minutes,27.29 %,72.71 %,3 Times,1 Times,2 Times,0.04 Minutes,0.01 Minutes,0.03 Minutes,5.18 %,0.80 %,4.38 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8c44b5b105b67d7378733843bc7217bk.mp3,1.52 Minutes,1.37 Minutes,90.21%,0.5 Minutes,0.97 Minutes,34.05 %,65.95 %,8 Times,4 Times,4 Times,0.11 Minutes,0.06 Minutes,0.05 Minutes,7.92 %,4.43 %,3.49 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/08ad5ef2ee8401f8091910b67ba217b8.mp3,0.32 Minutes,0.29 Minutes,91.99%,0.12 Minutes,0.27 Minutes,30.75 %,69.25 %,2 Times,2 Times,0 Times,0.09 Minutes,0.09 Minutes,0.0 Minutes,31.85 %,31.85 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/f0c92389c40e28b279bf6500463917b7.mp3,0.71 Minutes,0.61 Minutes,85.77%,0.17 Minutes,0.52 Minutes,24.1 %,75.9 %,3 Times,2 Times,1 Times,0.08 Minutes,0.05 Minutes,0.03 Minutes,13.73 %,8.84 %,4.89 %,angry,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/05dd5b6a4250c04f9e868c2957f917bh.mp3,3.48 Minutes,3.19 Minutes,91.72%,1.87 Minutes,1.85 Minutes,50.3 %,49.7 %,18 Times,9 Times,9 Times,0.52 Minutes,0.24 Minutes,0.28 Minutes,16.28 %,7.64 %,8.64 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/208362b936d0040e333b4a63d31417b7.mp3,0.57 Minutes,0.45 Minutes,78.50%,0.13 Minutes,0.34 Minutes,27.21 %,72.79 %,1 Times,1 Times,0 Times,0.01 Minutes,0.01 Minutes,0.0 Minutes,2.78 %,2.78 %,0.00 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/19c71ddc3a43f283f4ffcf622de017b4.mp3,0.36 Minutes,0.25 Minutes,70.65%,0.02 Minutes,0.25 Minutes,6.43 %,93.57 %,1 Times,1 Times,0 Times,0.02 Minutes,0.02 Minutes,0.0 Minutes,6.87 %,6.87 %,0.00 %,surprise,surprise,neutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/1a1ee554ac2decbd8f91af5a6b8c17bg.mp3,0.63 Minutes,0.55 Minutes,86.19%,0.18 Minutes,0.43 Minutes,29.57 %,70.43 %,5 Times,3 Times,2 Times,0.07 Minutes,0.06 Minutes,0.01 Minutes,12.39 %,10.21 %,2.18 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/59b3f1d99b56fde38d80ae300f7b17b9.mp3,0.66 Minutes,0.52 Minutes,78.92%,0.3 Minutes,0.24 Minutes,55.42 %,44.58 %,1 Times,1 Times,0 Times,0.01 Minutes,0.01 Minutes,0.0 Minutes,2.39 %,2.39 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/bc30619b3ce7c45d429078f07c8217bi.mp3,1.05 Minutes,0.86 Minutes,81.68%,0.28 Minutes,0.58 Minutes,32.73 %,67.27 %,1 Times,1 Times,0 Times,0.01 Minutes,0.01 Minutes,0.0 Minutes,0.92 %,0.92 %,0.00 %,surprise,angry,happy
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e93e3b814bcd3d662c1da6cff4d917b6.mp3,0.29 Minutes,0.18 Minutes,62.20%,0.0 Minutes,0.18 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,angry,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/bed2b73b733b20fc19689823683517b1.mp3,0.84 Minutes,0.72 Minutes,84.86%,0.13 Minutes,0.6 Minutes,17.37 %,82.63 %,1 Times,0 Times,1 Times,0.01 Minutes,0.0 Minutes,0.01 Minutes,1.78 %,0.00 %,1.78 %,sad,sad,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/134416a01097ad9a30f17b0c066b17b6.mp3,4.59 Minutes,3.84 Minutes,83.69%,1.29 Minutes,2.98 Minutes,30.25 %,69.75 %,22 Times,12 Times,10 Times,0.44 Minutes,0.21 Minutes,0.22 Minutes,11.37 %,5.53 %,5.84 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/457248ab840c001cdb40da2b977a17b1.mp3,0.24 Minutes,0.17 Minutes,70.58%,0.0 Minutes,0.17 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/cb6fce77b7e781289051b0d212f217bb.mp3,0.66 Minutes,0.56 Minutes,84.21%,0.26 Minutes,0.37 Minutes,41.46 %,58.54 %,2 Times,1 Times,1 Times,0.08 Minutes,0.02 Minutes,0.06 Minutes,13.94 %,3.55 %,10.39 %,angry,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e30101c72c41c2b8ffd40cacc4c317bh.mp3,0.09 Minutes,0.0 Minutes,0.00%,0.0 Minutes,0.0 Minutes,nan %,nan %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,nan %,nan %,nan %,surprise,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8874e890a831f2eba8e742032d7f17b6.mp3,0.99 Minutes,0.84 Minutes,84.86%,0.29 Minutes,0.68 Minutes,29.48 %,70.52 %,6 Times,4 Times,2 Times,0.12 Minutes,0.07 Minutes,0.05 Minutes,14.71 %,8.65 %,6.07 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/4eff56d0b2ed62936a4a5aaac13617b1.mp3,6.94 Minutes,5.71 Minutes,82.30%,2.7 Minutes,3.87 Minutes,41.13 %,58.87 %,32 Times,17 Times,15 Times,0.86 Minutes,0.42 Minutes,0.44 Minutes,15.04 %,7.33 %,7.71 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e182668cc77e4c260e7b676d373d17b9.mp3,1.6 Minutes,1.53 Minutes,95.51%,1.18 Minutes,1.24 Minutes,48.71 %,51.29 %,9 Times,5 Times,4 Times,0.9 Minutes,0.5 Minutes,0.39 Minutes,58.59 %,32.80 %,25.79 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/c46e22f46248267cd850ede7ccad17bf.mp3,0.16 Minutes,0.0 Minutes,0.00%,0.0 Minutes,0.0 Minutes,nan %,nan %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,nan %,nan %,nan %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b1e71adf31572a408a7ddf0d055117b7.mp3,0.88 Minutes,0.71 Minutes,81.56%,0.2 Minutes,0.59 Minutes,25.65 %,74.35 %,2 Times,1 Times,1 Times,0.08 Minutes,0.05 Minutes,0.02 Minutes,10.67 %,7.22 %,3.45 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/9e29775e7e31ef99ed91f745fdeb17b6.mp3,0.61 Minutes,0.57 Minutes,93.42%,0.27 Minutes,0.45 Minutes,37.44 %,62.56 %,4 Times,4 Times,0 Times,0.15 Minutes,0.15 Minutes,0.0 Minutes,26.05 %,26.05 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/ce540d08795f770f38fe28c1078217b6.mp3,0.82 Minutes,0.71 Minutes,87.07%,0.13 Minutes,0.66 Minutes,15.99 %,84.01 %,3 Times,2 Times,1 Times,0.07 Minutes,0.03 Minutes,0.04 Minutes,9.96 %,3.85 %,6.11 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/2b8713c0a07118244a8e66e20a5017b6.mp3,1.15 Minutes,1.02 Minutes,88.13%,0.37 Minutes,0.93 Minutes,28.51 %,71.49 %,7 Times,7 Times,0 Times,0.29 Minutes,0.29 Minutes,0.0 Minutes,28.42 %,28.42 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0d3549f63465c2a2ed5b920f840417bg.mp3,1.92 Minutes,1.82 Minutes,94.50%,0.42 Minutes,1.53 Minutes,21.43 %,78.57 %,10 Times,5 Times,5 Times,0.13 Minutes,0.09 Minutes,0.04 Minutes,6.94 %,4.81 %,2.13 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/022ef246868a15303c3bb937774417bk.mp3,0.21 Minutes,0.14 Minutes,65.35%,0.02 Minutes,0.12 Minutes,15.88 %,84.12 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/07c260b0a6b5f4b6903e46a90e4117b7.mp3,3.78 Minutes,3.42 Minutes,90.46%,1.34 Minutes,2.38 Minutes,36.01 %,63.99 %,13 Times,9 Times,4 Times,0.3 Minutes,0.21 Minutes,0.09 Minutes,8.72 %,6.23 %,2.49 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b46a521891448709ea3b6dd63f1e17b9.mp3,0.41 Minutes,0.3 Minutes,72.46%,0.05 Minutes,0.26 Minutes,16.22 %,83.78 %,1 Times,1 Times,0 Times,0.02 Minutes,0.02 Minutes,0.0 Minutes,6.39 %,6.39 %,0.00 %,fear,fear,sad
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/74f0285f33b75e58e987769b8b5717b6.mp3,1.24 Minutes,0.97 Minutes,77.55%,0.21 Minutes,0.79 Minutes,20.87 %,79.13 %,3 Times,3 Times,0 Times,0.03 Minutes,0.03 Minutes,0.0 Minutes,3.49 %,3.49 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/2aed674541b9109acb0c3c56ef1f17b6.mp3,0.48 Minutes,0.35 Minutes,73.88%,0.19 Minutes,0.24 Minutes,43.58 %,56.42 %,4 Times,1 Times,3 Times,0.07 Minutes,0.02 Minutes,0.05 Minutes,20.43 %,5.53 %,14.90 %,neutral,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/a61ebb703c8baa8a3ee81cde72a017bg.mp3,1.11 Minutes,0.95 Minutes,85.83%,0.3 Minutes,0.76 Minutes,28.41 %,71.59 %,5 Times,4 Times,1 Times,0.11 Minutes,0.11 Minutes,0.0 Minutes,11.69 %,11.54 %,0.15 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/1299e62fb578052f845965d6b98417b7.mp3,0.2 Minutes,0.11 Minutes,54.11%,0.0 Minutes,0.11 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/52f1846d6fa15b122ad54b29cccc17b3.mp3,1.01 Minutes,0.89 Minutes,88.49%,0.28 Minutes,0.66 Minutes,29.5 %,70.5 %,3 Times,2 Times,1 Times,0.05 Minutes,0.02 Minutes,0.03 Minutes,5.18 %,2.35 %,2.83 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/f5ffdd06c468d22372676694dc8417b2.mp3,0.73 Minutes,0.55 Minutes,76.35%,0.17 Minutes,0.42 Minutes,29.12 %,70.88 %,2 Times,2 Times,0 Times,0.04 Minutes,0.04 Minutes,0.0 Minutes,7.87 %,7.87 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/9e3c75d362b325237c79a5b6b33017b3.mp3,0.72 Minutes,0.65 Minutes,90.80%,0.26 Minutes,0.51 Minutes,33.61 %,66.39 %,6 Times,4 Times,2 Times,0.12 Minutes,0.08 Minutes,0.04 Minutes,18.09 %,11.63 %,6.46 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/3d4abf63c4d9c1206735fe9ee94e17bk.mp3,3.22 Minutes,2.99 Minutes,92.75%,1.56 Minutes,1.83 Minutes,46.04 %,53.96 %,15 Times,8 Times,7 Times,0.39 Minutes,0.23 Minutes,0.16 Minutes,13.17 %,7.83 %,5.35 %,surprise,fear,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5c65c370e7f49cdc1c9b8b21f48d17bb.mp3,5.44 Minutes,4.83 Minutes,88.64%,3.28 Minutes,2.48 Minutes,57.01 %,42.99 %,29 Times,22 Times,7 Times,0.93 Minutes,0.7 Minutes,0.23 Minutes,19.30 %,14.54 %,4.76 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b1f8815c6961ca0779bb31750be417b1.mp3,6.48 Minutes,5.97 Minutes,92.08%,3.55 Minutes,3.55 Minutes,49.98 %,50.02 %,38 Times,21 Times,17 Times,1.13 Minutes,0.61 Minutes,0.52 Minutes,18.99 %,10.29 %,8.70 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/46c1f64e82ad5d2cf4f5a9b124b517bg.mp3,1.63 Minutes,1.52 Minutes,93.19%,0.38 Minutes,1.24 Minutes,23.66 %,76.34 %,7 Times,3 Times,4 Times,0.11 Minutes,0.07 Minutes,0.04 Minutes,7.25 %,4.69 %,2.56 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/74c137f6595abbcc1a82813466b517b4.mp3,0.25 Minutes,0.19 Minutes,75.18%,0.0 Minutes,0.19 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/df21ce56c83a37b8deee5c94e40317b9.mp3,0.28 Minutes,0.18 Minutes,66.70%,0.0 Minutes,0.18 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e5263b147f0feb2ee723f7e07ffb17b8.mp3,0.36 Minutes,0.27 Minutes,73.60%,0.0 Minutes,0.27 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/626b8773329dc7c6eb5b8639b4f617bf.mp3,1.22 Minutes,1.14 Minutes,93.05%,0.48 Minutes,0.75 Minutes,39.17 %,60.83 %,5 Times,2 Times,3 Times,0.1 Minutes,0.03 Minutes,0.07 Minutes,8.42 %,2.68 %,5.74 %,neutral,sad,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/c2075c71c8b57265b8095023847c17b6.mp3,1.85 Minutes,1.42 Minutes,76.78%,0.3 Minutes,1.33 Minutes,18.45 %,81.55 %,9 Times,5 Times,4 Times,0.21 Minutes,0.17 Minutes,0.04 Minutes,14.82 %,11.71 %,3.10 %,surprise,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/730603d62d083764a990c159c5b517bl.mp3,1.23 Minutes,1.18 Minutes,95.94%,1.07 Minutes,0.95 Minutes,52.77 %,47.23 %,6 Times,3 Times,3 Times,0.84 Minutes,0.19 Minutes,0.65 Minutes,70.70 %,15.82 %,54.89 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/19cb2a630a2164a3bc18da0bf17717b1.mp3,1.68 Minutes,1.57 Minutes,93.35%,0.26 Minutes,1.45 Minutes,15.02 %,84.98 %,6 Times,2 Times,4 Times,0.14 Minutes,0.06 Minutes,0.07 Minutes,8.77 %,4.13 %,4.65 %,surprise,surprise,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/615b54c2ceb4a0389eac2257cfb517bg.mp3,1.1 Minutes,0.87 Minutes,78.77%,0.3 Minutes,0.61 Minutes,32.58 %,67.42 %,3 Times,1 Times,2 Times,0.04 Minutes,0.01 Minutes,0.04 Minutes,4.90 %,0.85 %,4.05 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/7d243b751e5abd49484b4e4e91e717bb.mp3,0.73 Minutes,0.39 Minutes,53.70%,0.02 Minutes,0.37 Minutes,5.71 %,94.29 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/85c084052b57a104628c60a13dc717bh.mp3,0.12 Minutes,0.05 Minutes,40.31%,0.0 Minutes,0.05 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/38f6cfc420abb7130c910f427dee17bd.mp3,3.33 Minutes,2.83 Minutes,84.81%,1.17 Minutes,1.91 Minutes,38.07 %,61.93 %,13 Times,8 Times,5 Times,0.26 Minutes,0.13 Minutes,0.12 Minutes,9.04 %,4.63 %,4.41 %,surprise,sad,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/270faad4a2662648fa69a695917417bl.mp3,0.21 Minutes,0.21 Minutes,99.99%,0.19 Minutes,0.11 Minutes,62.48 %,37.52 %,3 Times,1 Times,2 Times,0.09 Minutes,0.01 Minutes,0.08 Minutes,42.86 %,5.99 %,36.87 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/38b7d46460c754301a26af0decdb17bg.mp3,0.48 Minutes,0.34 Minutes,69.23%,0.04 Minutes,0.3 Minutes,11.81 %,88.19 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/cc4ca71f8fc0b9d0a07b36b6c4aa17b8.mp3,0.71 Minutes,0.69 Minutes,97.29%,0.51 Minutes,0.57 Minutes,47.11 %,52.89 %,5 Times,2 Times,3 Times,0.39 Minutes,0.32 Minutes,0.06 Minutes,56.17 %,46.81 %,9.35 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/eb304a0dfb5afc62f3351b8535ea17bg.mp3,0.17 Minutes,0.15 Minutes,89.42%,0.15 Minutes,0.13 Minutes,52.77 %,47.23 %,2 Times,1 Times,1 Times,0.13 Minutes,0.11 Minutes,0.02 Minutes,85.93 %,74.67 %,11.26 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/46edf4c5cec66354b64ddd42f4c817bh.mp3,0.25 Minutes,0.15 Minutes,60.11%,0.02 Minutes,0.15 Minutes,11.3 %,88.7 %,1 Times,1 Times,0 Times,0.02 Minutes,0.02 Minutes,0.0 Minutes,10.63 %,10.63 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e0c0bff46431b38040fc12fd5ed717b9.mp3,0.27 Minutes,0.08 Minutes,27.54%,0.0 Minutes,0.08 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,angry,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/3de985960a2ff5892330a244404517bh.mp3,0.67 Minutes,0.6 Minutes,89.07%,0.17 Minutes,0.51 Minutes,24.66 %,75.34 %,3 Times,2 Times,1 Times,0.08 Minutes,0.05 Minutes,0.03 Minutes,12.77 %,7.93 %,4.84 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/1232fdddec2aebd7092c8044535217be.mp3,1.02 Minutes,0.84 Minutes,82.25%,0.21 Minutes,0.66 Minutes,23.85 %,76.15 %,3 Times,1 Times,2 Times,0.04 Minutes,0.02 Minutes,0.02 Minutes,4.22 %,2.03 %,2.20 %,surprise,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/f14618729630211526537bd2cea317bl.mp3,0.36 Minutes,0.35 Minutes,97.97%,0.08 Minutes,0.28 Minutes,21.58 %,78.42 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/232d282b70099d23dd0e9cc854b517b6.mp3,0.46 Minutes,0.4 Minutes,86.99%,0.14 Minutes,0.38 Minutes,27.11 %,72.89 %,3 Times,2 Times,1 Times,0.12 Minutes,0.11 Minutes,0.02 Minutes,30.97 %,26.99 %,3.98 %,surprise,surprise,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14983fc23d1bc77ab77e2211c4bd17b7.mp3,2.9 Minutes,2.39 Minutes,82.41%,0.95 Minutes,1.67 Minutes,36.18 %,63.82 %,10 Times,3 Times,7 Times,0.23 Minutes,0.09 Minutes,0.14 Minutes,9.53 %,3.60 %,5.92 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/683138c3e59182b6f42ec6efcb3d17b6.mp3,1.06 Minutes,0.86 Minutes,81.30%,0.2 Minutes,0.71 Minutes,22.08 %,77.92 %,4 Times,2 Times,2 Times,0.05 Minutes,0.04 Minutes,0.0 Minutes,5.47 %,5.01 %,0.46 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/de5c63ef6c791381479be8fc0c6717bh.mp3,0.29 Minutes,0.15 Minutes,50.66%,0.0 Minutes,0.15 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/7b4e468dece4d4827dc682583e3b17b9.mp3,0.22 Minutes,0.12 Minutes,57.07%,0.0 Minutes,0.12 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0cb803381f33d8bf7747649a790317b9.mp3,2.03 Minutes,1.76 Minutes,86.78%,0.3 Minutes,1.53 Minutes,16.27 %,83.73 %,4 Times,4 Times,0 Times,0.06 Minutes,0.06 Minutes,0.0 Minutes,3.64 %,3.64 %,0.00 %,angry,angry,angry
